Date,Water storage area,Total capacity (ML),Current volume (ML)*,capacityChangeBetweenDates,% full,Recorded rainfall (mm)
29-09-2024,Thomson,1068000,1030783,-301,96.51,0
29-09-2024,Cardinia,286911,218830,273,76.27,
29-09-2024,Upper Yarra,200579,145887,-447,72.73,0
29-09-2024,Sugarloaf,96253,91905,127,95.48,
29-09-2024,Silvan,40445,35621,52,88.07,
29-09-2024,Tarago,37580,37882,43,100,
29-09-2024,Yan Yean,30266,27854,16,92.03,
29-09-2024,Greenvale,26839,22379,-28,83.38,
29-09-2024,Maroondah,22179,13830,16,62.35,0
29-09-2024,O'Shannassy,3123,3090,2,98.94,0
28-09-2024,Thomson,1068000,1031041,-43,96.53,0
28-09-2024,Cardinia,286911,219146,589,76.38,
28-09-2024,Upper Yarra,200579,145430,-904,72.5,0
28-09-2024,Sugarloaf,96253,92079,301,95.66,
28-09-2024,Silvan,40445,35720,151,88.31,
28-09-2024,Tarago,37580,37901,62,100,
28-09-2024,Yan Yean,30266,27859,21,92.04,
28-09-2024,Greenvale,26839,22342,-65,83.24,
28-09-2024,Maroondah,22179,13879,65,62.57,0
28-09-2024,O'Shannassy,3123,3112,24,99.64,0
27-09-2024,Thomson,1068000,1030847,-237,96.52,0
27-09-2024,Cardinia,286911,219440,883,76.48,
27-09-2024,Upper Yarra,200579,144946,-1388,72.26,0
27-09-2024,Sugarloaf,96253,92209,431,95.79,
27-09-2024,Silvan,40445,35816,247,88.55,
27-09-2024,Tarago,37580,37908,69,100,
27-09-2024,Yan Yean,30266,27864,26,92.06,
27-09-2024,Greenvale,26839,22317,-90,83.15,
27-09-2024,Maroondah,22179,13911,97,62.72,0
27-09-2024,O'Shannassy,3123,3130,42,100,0
26-09-2024,Thomson,1068000,1030740,-344,96.51,2.2
26-09-2024,Cardinia,286911,219787,1230,76.6,
26-09-2024,Upper Yarra,200579,144522,-1812,72.05,8.4
26-09-2024,Sugarloaf,96253,92383,605,95.97,
26-09-2024,Silvan,40445,35891,322,88.74,
26-09-2024,Tarago,37580,37893,54,100,
26-09-2024,Yan Yean,30266,27890,52,92.14,
26-09-2024,Greenvale,26839,22269,-138,82.97,
26-09-2024,Maroondah,22179,13928,114,62.79,4
26-09-2024,O'Shannassy,3123,3142,54,100,7
25-09-2024,Thomson,1068000,1030502,-582,96.48,0
25-09-2024,Cardinia,286911,219946,1389,76.66,
25-09-2024,Upper Yarra,200579,144003,-2331,71.79,0.6
25-09-2024,Sugarloaf,96253,92514,736,96.11,
25-09-2024,Silvan,40445,35906,337,88.77,
25-09-2024,Tarago,37580,37927,88,100,
25-09-2024,Yan Yean,30266,27890,52,92.14,
25-09-2024,Greenvale,26839,22213,-194,82.76,
25-09-2024,Maroondah,22179,13911,97,62.72,0.6
25-09-2024,O'Shannassy,3123,3130,42,100,1.8
24-09-2024,Thomson,1068000,1030330,-754,96.47,0
24-09-2024,Cardinia,286911,220314,1757,76.78,
24-09-2024,Upper Yarra,200579,143645,-2689,71.61,0
24-09-2024,Sugarloaf,96253,92644,866,96.25,
24-09-2024,Silvan,40445,35878,309,88.7,
24-09-2024,Tarago,37580,37904,65,100,
24-09-2024,Yan Yean,30266,27890,52,92.14,
24-09-2024,Greenvale,26839,22165,-242,82.58,
24-09-2024,Maroondah,22179,13911,97,62.72,0
24-09-2024,O'Shannassy,3123,3141,53,100,0
23-09-2024,Thomson,1068000,1030179,-905,96.45,0
23-09-2024,Cardinia,286911,220599,2042,76.88,
23-09-2024,Upper Yarra,200579,143627,-2707,71.6,0
23-09-2024,Sugarloaf,96253,92818,1040,96.43,
23-09-2024,Silvan,40445,35538,-31,87.86,
23-09-2024,Tarago,37580,37953,114,100,
23-09-2024,Yan Yean,30266,27916,78,92.23,
23-09-2024,Greenvale,26839,22133,-274,82.46,
23-09-2024,Maroondah,22179,13895,81,62.64,0
23-09-2024,O'Shannassy,3123,3192,104,100,0
22-09-2024,Thomson,1068000,1029899,-1185,96.43,0.4
22-09-2024,Cardinia,286911,220790,2233,76.95,
22-09-2024,Upper Yarra,200579,143752,-2582,71.66,2.6
22-09-2024,Sugarloaf,96253,92905,1127,96.52,
22-09-2024,Silvan,40445,35318,-251,87.32,
22-09-2024,Tarago,37580,37916,77,100,
22-09-2024,Yan Yean,30266,27942,104,92.32,
22-09-2024,Greenvale,26839,22125,-282,82.43,
22-09-2024,Maroondah,22179,13862,48,62.5,4.2
22-09-2024,O'Shannassy,3123,3185,97,100,8
